initial_trust,initial_risk,round,quorum
0.1,0.2368421052631579,84,0.6205245868966095
0.1,0.2368421052631579,85,0.62050331758454
0.1,0.2368421052631579,86,0.620478528401172
0.1,0.2368421052631579,87,0.6204591973896415
0.1,0.2368421052631579,88,0.6204325882187908
0.1,0.2368421052631579,89,0.6204042166245577
0.1,0.2368421052631579,90,0.6203787064095687
0.1,0.2368421052631579,91,0.6203521026555954
0.1,0.2368421052631579,92,0.620329270953627
0.1,0.2368421052631579,93,0.6203078730217478
0.1,0.2368421052631579,94,0.6202846936973593
0.1,0.2368421052631579,95,0.6202560898189124
0.1,0.2368421052631579,96,0.6202314898473305
0.1,0.2368421052631579,97,0.6202048671988438
0.1,0.2368421052631579,98,0.6201772093525978
0.1,0.2368421052631579,99,0.6201507409088854
0.1,0.28421052631578947,0,0.63
0.1,0.28421052631578947,1,0.6298225415712478
0.1,0.28421052631578947,2,0.6295934655060711
0.1,0.28421052631578947,3,0.629384808208259
0.1,0.28421052631578947,4,0.6291745207739687
