initial_trust,initial_risk,round,governance_weight
0.1,0.18947368421052632,94,0.00553745600877276
0.1,0.18947368421052632,95,0.0054714047308446895
0.1,0.18947368421052632,96,0.005311077525807362
0.1,0.18947368421052632,97,0.0053685261584484
0.1,0.18947368421052632,98,0.005180501074988919
0.1,0.18947368421052632,99,0.004954450640485915
0.1,0.2368421052631579,0,0.07610969110005489
0.1,0.2368421052631579,1,0.07018112440022835
0.1,0.2368421052631579,2,0.07486582827315641
0.1,0.2368421052631579,3,0.07380926307501767
0.1,0.2368421052631579,4,0.06726464496258756
0.1,0.2368421052631579,5,0.07390701333595341
0.1,0.2368421052631579,6,0.07023193662275555
0.1,0.2368421052631579,7,0.06353497073041114
0.1,0.2368421052631579,8,0.06932325636816124
0.1,0.2368421052631579,9,0.06777937396223474
0.1,0.2368421052631579,10,0.06729659111730575
0.1,0.2368421052631579,11,0.06527927639321161
0.1,0.2368421052631579,12,0.06502955829159528
0.1,0.2368421052631579,13,0.062011768666571467
0.1,0.2368421052631579,14,0.0623230481086839
0.1,0.2368421052631579,15,0.061808825843882524
0.1,0.2368421052631579,16,0.06035730001747596
0.1,0.2368421052631579,17,0.05395019411091476
0.1,0.2368421052631579,18,0.0521959709143113
0.1,0.2368421052631579,19,0.056292041209012336
0.1,0.2368421052631579,20,0.051102364342091346
0.1,0.2368421052631579,21,0.05388524061328647
0.1,0.2368421052631579,22,0.046712567462293436
0.1,0.2368421052631579,23,0.047606112024518324
0.1,0.2368421052631579,24,0.04847896703139068
0.1,0.2368421052631579,25,0.046108597082547186
0.1,0.2368421052631579,26,0.043068220650554094
0.1,0.2368421052631579,27,0.04073818618026881
0.1,0.2368421052631579,28,0.041588770583255434
0.1,0.2368421052631579,29,0.040579077238584824
0.1,0.2368421052631579,30,0.040298734701878364
0.1,0.2368421052631579,31,0.036311161633890976
0.1,0.2368421052631579,32,0.036047290126115454
0.1,0.2368421052631579,33,0.03414123212529823
0.1,0.2368421052631579,34,0.03438309790714813
0.1,0.2368421052631579,35,0.03476237012135528
0.1,0.2368421052631579,36,0.03081142762326283
0.1,0.2368421052631579,37,0.029981586524388502
0.1,0.2368421052631579,38,0.02710730460825194
0.1,0.2368421052631579,39,0.027697625423892716
0.1,0.2368421052631579,40,0.027389358801353902
0.1,0.2368421052631579,41,0.025659010860653527
0.1,0.2368421052631579,42,0.022774480534400558
0.1,0.2368421052631579,43,0.023191518199211995
0.1,0.2368421052631579,44,0.02095968589185056
0.1,0.2368421052631579,45,0.020867802967882848
0.1,0.2368421052631579,46,0.019111210945232857
0.1,0.2368421052631579,47,0.018714309201499496
0.1,0.2368421052631579,48,0.018142220588375817
0.1,0.2368421052631579,49,0.01826082762900682
0.1,0.2368421052631579,50,0.015839188499444594
0.1,0.2368421052631579,51,0.01573822935757348
0.1,0.2368421052631579,52,0.014825420026326213
0.1,0.2368421052631579,53,0.013378018580155476
0.1,0.2368421052631579,54,0.01365115820988992
0.1,0.2368421052631579,55,0.013793714725161083
0.1,0.2368421052631579,56,0.01217779248616124
0.1,0.2368421052631579,57,0.012985776943683252
0.1,0.2368421052631579,58,0.012509673661599741
0.1,0.2368421052631579,59,0.011746988006561794
0.1,0.2368421052631579,60,0.011567124561210607
0.1,0.2368421052631579,61,0.010086793208390414
0.1,0.2368421052631579,62,0.010227397142846992
0.1,0.2368421052631579,63,0.009819654231992266
0.1,0.2368421052631579,64,0.008944801141201896
0.1,0.2368421052631579,65,0.008937552936385084
0.1,0.2368421052631579,66,0.008148703964001797
0.1,0.2368421052631579,67,0.00826542488281444
0.1,0.2368421052631579,68,0.0077442663380511995
0.1,0.2368421052631579,69,0.006776778171875854
0.1,0.2368421052631579,70,0.006317155053910764
0.1,0.2368421052631579,71,0.006442100810832415
0.1,0.2368421052631579,72,0.005760095742588981
0.1,0.2368421052631579,73,0.005724416157996754
0.1,0.2368421052631579,74,0.005490106136060587
0.1,0.2368421052631579,75,0.00577428286679605
0.1,0.2368421052631579,76,0.005608370163986151
0.1,0.2368421052631579,77,0.004952095250962023
0.1,0.2368421052631579,78,0.004857925845446351
0.1,0.2368421052631579,79,0.004654600614933335
0.1,0.2368421052631579,80,0.004545652952132028
0.1,0.2368421052631579,81,0.0041527127897585045
0.1,0.2368421052631579,82,0.00397830250573478
0.1,0.2368421052631579,83,0.004152013877406748
0.1,0.2368421052631579,84,0.0036651963889282554
0.1,0.2368421052631579,85,0.0034483473720707375
0.1,0.2368421052631579,86,0.0032081533861945356
0.1,0.2368421052631579,87,0.0032439714822339303
0.1,0.2368421052631579,88,0.003027010174187062
0.1,0.2368421052631579,89,0.002704434007643283
0.1,0.2368421052631579,90,0.0025108660887271763
0.1,0.2368421052631579,91,0.0025689935555592586
0.1,0.2368421052631579,92,0.002380095398709987
0.1,0.2368421052631579,93,0.0022264953585774184
0.1,0.2368421052631579,94,0.0019854588441574343
0.1,0.2368421052631579,95,0.0018345633512615981
0.1,0.2368421052631579,96,0.0015260224348883358
0.1,0.2368421052631579,97,0.0014984802291532898
0.1,0.2368421052631579,98,0.0012548611136299931
