theta_seq,physics_alarm_seq
231.19610748067888,1
227.78564031143128,1
227.8743847066172,1
225.7695244752425,1
218.52529917752327,1
212.2602097208779,1
234.13537375278912,1
259.9879966598932,1
257.36445211161544,1
258.29644733313535,1
246.94400258866625,1
247.85159307658435,1
267.28783353224634,1
262.96031664336493,1
256.889957575861,1
251.8388101322181,1
261.0623182866902,1
260.26433396263394,1
251.4021762098927,1
269.957605575699,1
257.9961617558069,1
271.3541852637632,1
265.1224967096839,1
259.2817949154009,1
247.04598893420484,1
237.9729750432773,1
229.19930007205343,1
227.89183054237472,1
225.5342453277396,1
223.0456647935881,1
219.10375886428653,1
214.8330013369906,1
236.7794690885966,1
250.5528987119964,1
243.18794615007957,1
233.99483467155952,1
239.48760315188264,1
228.423707220404,1
251.4828532145133,1
248.70375303768708,1
237.6493047194584,1
230.341993342774,1
223.6053453940931,1
244.05717881895475,1
232.70524103511144,1
254.6947695508991,1
241.65598582904724,1
259.2608942985295,1
247.73876154628093,1
243.0135488724883,1
245.96599647175063,1
266.6185112541687,1
253.61544421912205,1
250.26470404669135,1
240.64338999655024,1
234.7681400483166,1
243.2668460916358,1
260.0571495163832,1
283.3674742410817,1
276.9658836811933,1
298.78947661011955,1
299.8621522148609,1
297.37021293763337,1
290.3290031725164,1
306.2278499285456,1
288.2527470405567,1
289.14166982458096,1
281.50403284890945,1
271.6655982770605,1
283.22629977147824,1
276.3300588931803,1
271.26253631799545,1
265.7962482852581,1
258.8767336862054,1
251.3131036484548,1
268.9865134297002,1
259.56785572165063,1
248.53265942707813,1
246.2213326559829,1
248.35298116270997,1
260.8610308868172,1
254.06722378697648,1
242.9445148758136,1
232.7210541931188,1
253.89860373897335,1
251.6053544387277,1
248.59303757639344,1
241.6763192824141,1
231.8996607978488,1
223.4325580164036,1
245.26276418356716,1
248.19490863499308,1
260.05620709063027,1
253.64363085537204,1
246.13368840744528,1
243.1601042974295,1
236.11741496483285,1
234.3116057828176,1
223.01471616340436,1
220.75044305152207,1
217.41088636221195,1
244.3597604700694,1
232.46536059656097,1
237.65003850564548,1
233.5832481346036,1
235.0115484307248,1
241.95049196687387,1
246.01135333780297,1
234.20139602793,1
225.8783909078244,1
215.17776642009952,1
208.56377786467488,1
213.67961589172396,1
206.3711299372484,1
235.7512035222186,1
244.44031999019649,1
252.967326595714,1
262.9351731403426,1
250.09835443731347,1
244.86152348528435,1
231.44450802270129,1
218.6859469912989,1
208.01706997364923,1
198.4338430634781,1
190.37594048189425,1
182.24222133292923,1
176.31179033340962,1
169.91098680292168,1
164.99302416144343,1
160.43536928162442,1
156.01072133630132,1
152.80888630648488,1
149.15595096413296,1
145.85773796994795,1
142.68901606710364,1
140.004205903546,1
136.98253413396603,1
134.82181094802593,1
132.46848434762757,1
130.15866428440725,1
129.66474849809606,1
129.61237562836314,1
128.72513110073962,1
128.40990710026853,1
127.45669887935564,1
125.58731840663262,1
124.7580297511179,1
123.3495149351748,1
123.02273918061394,1
121.98654631643215,1
120.91351720453142,1
120.28088423386438,1
120.07625272209016,1
120.51404960837914,1
118.20875765787194,1
117.084018637609,1
117.49770945597275,1
117.6568187915038,1
117.27428076064982,1
116.73538790201248,1
116.84692804720984,1
116.07336616554144,1
116.20011343428742,1
115.10258488074928,1
115.18178173841044,1
115.93415470936388,1
116.99484222506985,1
115.88822389191849,1
117.04500500038412,1
117.0582802928299,1
115.6807992198486,1
116.03943156820172,1
116.41367689983984,1
117.62368253680252,1
117.9716405603454,1
117.48806238906262,1
117.98233755511508,1
117.19043271455617,1
117.57946003567766,1
116.22569480232976,1
153.85090722469815,1
159.23684673905535,1
158.44842228212715,1
174.96287945777743,1
206.35335020159405,1
217.07051859189005,1
209.6106071225406,1
228.4201651527761,1
230.81373162319423,1
221.5726890264916,1
249.8135579208208,1
243.79225634418256,1
240.72909630192535,1
235.4488420168149,1
224.7904525970731,1
225.6864644918308,1
215.503961621711,1
216.8757808057252,1
211.18057731220657,1
208.1317491655626,1
221.77995865132,1
232.67893769811425,1
231.73312549592,1
224.12105783921743,1
216.78534459044369,1
224.6136542633709,1
216.27970931326607,1
225.9507272132577,1
221.25735192339303,1
219.88051574106345,1
212.0337293913449,1
204.32873998525125,1
234.0555183431268,1
228.66210409885727,1
223.47374398653503,1
249.8443734798429,1
260.3251376494951,1
253.2738524314505,1
249.5577767243894,1
267.93810528205626,1
282.4053656646854,1
277.71167630914834,1
300.4081513860868,1
292.07078030777444,1
276.4627131876288,1
285.07184255911056,1
276.0271099037231,1
264.25907202320167,1
254.90332431757903,1
245.25833296870752,1
234.11385681941036,1
223.75644708011603,1
237.57746355108145,1
234.3612838189116,1
231.8439817978266,1
231.58220307450893,1
232.2576211643833,1
223.5565410390376,1
221.07517337895092,1
238.2728371930677,1
261.08905416344857,1
249.9524230381632,1
247.59966136538785,1
245.66624579906693,1
237.811085213728,1
233.40410190263125,1
228.02301992807477,1
254.97951555881616,1
244.83404855308848,1
232.07766727290877,1
